Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_021613535.1	ASM2161353v1	Adineta vaga	AD008						Annotation submitted by University of Namur	Chromosome	2022-01-26		6
GCA_020844145.1	ASM2084414v1	Sarcoptes scabiei					X4-3		Annotation submitted by College of Veterinary Medicine, Sichuan Agricultural University	Chromosome	2021-11-12		9
GCA_041200155.1	ASM4120015v1	Leuciscus waleckii				alkaline population			Annotation submitted by Heilongjiang River Fisheries Research Institute	Chromosome	2024-08-11		25
GCA_000691945.2	ASM69194v2	Babesia microti strain RI		RI					Annotation submitted by Centre National de Sequencage GENOSCOPE	Chromosome	2017-01-26		4
GCA_028411795.1	ASM2841179v1	Euphorbia peplus				Ithaca			Annotation submitted by Cornell University	Chromosome	2023-02-02		8
GCA_000091225.2	ASM9122v2	Encephalitozoon cuniculi GB-M1					GB-M1		Annotation submitted by Genoscope	Chromosome	2017-03-09		11
GCA_046563165.1	ASM4656316v1	Acanthocheilonema viteae		FR3					Annotation submitted by University of Maryland, Baltimore	Chromosome	2025-01-08	JBJYKE01	6
GCA_026914265.1	ASM2691426v1	Mya arenaria					MELC-2E11	female	Annotation submitted by Pacific Northwest Research Institute	Chromosome	2022-12-15		17
GCA_051171035.1	Mhapla_VW9	Meloidogyne hapla					VW9		Annotation submitted by UC Davis	Chromosome	2025-07-02	JBPGYX01	16
GCA_049949165.1	ASM4994916v1	Pungitius sinensis				Wild-caught	CEOB_ZJU_PS001	male	Annotation submitted by Zhejiang University	Chromosome	2025-04-28	JBNCOF01	21
GCA_021491655.1	ASM2149165v1	Peronospora effusa					UA202013		Annotation submitted by UC Davis Genome Center	Chromosome	2022-01-17		17
GCA_002287475.2	ASM228747v2	Pyrrhoderma noxium		FFPRI411160					Annotation submitted by Academia Sinica	Chromosome	2019-07-11	NBII01	12
GCA_019677325.2	ASM1967732v2	Pleurotus cornucopiae					CCMSSC00406		Annotation submitted by Institute of Agricultural Resources and Regional Planning	Chromosome	2021-08-25	WQMT02	11
GCA_013387185.1	ASM1338718v1	Caligus rogercresseyi					FCH		Annotation submitted by Universidad de Concepcion	Chromosome	2019-11-13		21
GCA_900162835.1	version 2	Sporisorium reilianum f. sp. reilianum		SRS1_H2-8					Annotation submitted by Technische Universitat Munchen - WZW	Chromosome	2018-02-08		23
GCA_051225905.1	CfHapB	Camellia fascicularis					JXC2025		Annotation submitted by Chinese Academy of Sciences (CAS)	Chromosome	2025-07-07	JBPKAZ01	15
GCA_046055965.1	ASM4605596v1	Cinchona calisaya				Yunnan			Annotation submitted by Hebei University	Chromosome	2024-12-16	JBJUIK01	17
GCA_051175655.1	MguttatusvarIM767 v2.0	Erythranthe tilingii			LVR				Annotation submitted by Joint Genome Institute	Chromosome	2025-07-02	JBNMUS01	14
GCA_039639745.1	Bnut_1.0	Bertholletia excelsa				Amazon			Annotation submitted by Computational Genomics Laboratory - University of Brasilia (UnB) - Brazil	Chromosome	2024-05-14		17
GCA_030710605.1	ASM3071060v1	Cordylochernes scorpioides					IN4F17	pooled male and female	Annotation submitted by University of Nevada, Reno	Chromosome	2023-08-10		24
GCA_000146465.1	ASM14646v1	Encephalitozoon intestinalis ATCC 50506		ATCC 50506					Annotation submitted by Keeling lab, University of British Columbia	Chromosome	2010-08-16		11
GCA_051307295.1	ASM5130729v1	Pterospermum kingtungense					czs-leaf		Annotation submitted by Chinese Academy of Sciences (CAS)	Chromosome	2025-07-14		19
GCA_051046955.1	ASM5104695v1	Craigia yunnanensis					dt-leaf		Annotation submitted by Chinese Academy of Sciences (CAS)	Chromosome	2025-06-24		41
GCA_051175675.1	ASM5117567v1	Erythranthe nasuta			SF				Annotation submitted by DOE Joint Genome Institute	Chromosome	2025-07-02	JBNURV01	14
GCA_023547065.1	ASM2354706v1	Musa troglodytarum			karat				Annotation submitted by Chinese Academy of Tropical Agricultural Sciences	Chromosome	2022-05-25		10
GCA_001680005.1	ASM168000v1	Plasmodium coatneyi		Hackeri					Annotation submitted by Malaria Host-Pathogen Interaction Center	Chromosome	2016-07-06		14
GCA_900106115.1	CBS 141442 assembly	Sungouiella intermedia		CBS 141442					Annotation submitted by CHALMERS UNIVERSITY OF TECHNOLOGY	Chromosome	2016-11-25		7
GCA_000235365.1	ASM23536v1	Eremothecium cymbalariae DBVPG#7215		DBVPG#7215					Annotation submitted by Carlsberg Laboratory	Chromosome	2011-11-14		8
GCA_963425845.1	hybrid_with_Hi-C	Sphenostylis stenocarpa							Annotation submitted by International Livestock Research Institute	Chromosome	2023-09-11		11
GCA_002220235.1	ASM222023v1	Bathycoccus prasinos		RCC 1105					Annotation submitted by Genoscope	Chromosome	2012-11-22		19
GCA_050990945.1	ASM5099094v1	Reevesia pubescens					sls-leaf		Annotation submitted by Chinese Academy of Sciences (CAS)	Chromosome	2025-06-18		20
GCA_965616825.1	VB03	Victoria cruziana							Annotation submitted by IZMB, University of Bonn	Chromosome	2025-07-08		12
GCA_051295405.1	ASM5129540v1	Diplodiscus trichospermus					hnd-leaf		Annotation submitted by Chinese Academy of Sciences (CAS)	Chromosome	2025-07-11		20
GCA_921294245.1	PGI_MELIAE_v1	Brassicogethes aeneus							Annotation submitted by ROTHAMSTED RESEARCH	Chromosome	2022-01-17		11
GCA_017357885.1	ASM1735788v1	Monilinia vaccinii-corymbosi		RL-1					Annotation submitted by North Carolina State University	Chromosome	2021-03-16		9
GCA_964035595.1	gfSpoDele1	Somion occarium							Annotation submitted by Earlham Institute	Chromosome	2024-05-02		11
GCA_039513925.1	PZIJ_v1.0	Platanthera zijinensis					Lor287		Annotation submitted by Fujian Agriculture and Forestry University	Chromosome	2024-05-09	JBBWWQ01	21
GCA_964034765.1	kcau_genome_v1	Knipowitschia caucasica							Annotation submitted by university of cologne, biocenter, institute of zoology	Chromosome	2024-05-04		23
GCA_962240445.1	Lutingensis_IOCL2689	Leishmania utingensis		ERC000039			ITUB/BR/1977/M4964		Annotation submitted by fabio resadore	Chromosome	2024-07-01		37
GCA_962240435.1	Llindenbergi_IOCL2690	Leishmania lindenbergi		ERC000039			MHOM/BR/1966/M15733		Annotation submitted by fabio resadore	Chromosome	2024-07-01		37
GCA_962239345.1	Lnaiffi_IOCL1365	Leishmania naiffi		ERC000039			MDAS/BR/1979/M5533		Annotation submitted by fabio resadore	Chromosome	2024-07-01		37
GCA_000328475.2	Umaydis521_2.0	Mycosarcoma maydis		521					Annotation submitted by Broad Institute	Chromosome	2015-02-18	AACP02	27
GCA_000219625.1	MYCGR v2.0	Zymoseptoria tritici IPO323		IPO323					Annotation submitted by DOE Joint Genome Institute	Chromosome	2011-07-06	ACPE01	21
GCA_001708105.1	ASM170810v1	Komagataella pastoris		ATCC 28485					Annotation submitted by Massachusetts Institute of Technology	Chromosome	2016-08-12		11
GCA_000187245.3	Hansenula_2	Ogataea parapolymorpha DL-1		DL-1					Annotation submitted by Centre	Chromosome	2013-12-20	AEOI02	7
GCA_022605425.2	FIOER33 v3	Hamiltosporidium tvaerminnensis					FI-OER-3-3		Annotation submitted by University of Basel	Chromosome	2023-08-22	JAKIMF02	17
GCA_000507465.4	ASM50746v4	Kwoniella mangroviensis CBS 8507		CBS 8507					Annotation submitted by Broad Institute	Chromosome	2024-03-14	ASQE02	4
GCA_039105145.1	ASM3910514v1	Kwoniella newhampshirensis		CBS 13917					Annotation submitted by Broad Institute	Chromosome	2024-05-09	JBCAWK01	17
GCA_900074725.1	LADA0	Lachancea dasiensis							Annotation submitted by INRA UMR 1319	Chromosome	2016-10-25	FJUP01	8
GCA_000236905.1	ASM23690v1	Tetrapisispora phaffii CBS 4417		type strain:CBS 4417					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2011-11-17		17
GCA_900074755.1	LANO0	Lachancea nothofagi CBS 11611							Annotation submitted by INRA UMR 1319	Chromosome	2016-10-25	FJUQ01	8
GCA_900074715.1	LAME0	Lachancea meyersii CBS 8951							Annotation submitted by INRA UMR 1319	Chromosome	2016-10-25	FJUM01	8
GCA_035222475.1	CBS411.78m_1.0	Podospora pseudopauciseta		CBS 411.78					Annotation submitted by Uppsala University	Chromosome	2024-01-12	JAFFHB01	10
GCA_035222275.1	CBS112042p_1.0	Podospora bellae-mahoneyi		CBS 112042					Annotation submitted by Uppsala University	Chromosome	2024-01-12	JAFFGZ01	9
GCA_000001215.4	Release 6 plus ISO1 MT	Drosophila melanogaster							FlyBase Release 6.54	Chromosome	2014-08-01		1869
GCA_000004515.5	Glycine_max_v4.0	Glycine max			Williams 82				Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Chromosome	2021-03-10	ACUP04	345
GCA_007990345.1	Gossypium_hirsutum_v2.1	Gossypium hirsutum					1008001.06		Annotation submitted by HudsonAlpha Genome Sequencing Center	Chromosome	2021-02-25	VKGJ01	1031
GCA_020379485.1	Da-Ae	Brassica napus			Da-Ae				Annotation submitted by None	Chromosome	2021-10-08	JAGKQM01	3164
GCA_000003195.3	Sorghum_bicolor_NCBIv3	Sorghum bicolor			BTx623				Annotation submitted by Sorghum Consortium	Chromosome	2017-04-07	ABXC03	867
GCA_003473485.2	MtrunA17r5.0-ANR	Medicago truncatula			Jemalong A17				Annotation submitted by INRA/CNRS	Chromosome	2018-09-12	PSQE01	40
GCA_000004075.3	Cucumber_9930_V3	Cucumis sativus			9930				Annotation submitted by The Cucumber Genome Initiative	Chromosome	2019-11-15	ACHR03	84
GCA_000002595.3	Chlamydomonas_reinhardtii_v5.5	Chlamydomonas reinhardtii		CC-503 cw92 mt+					Annotation submitted by DOE Joint Genome Institute	Chromosome	2018-01-26	ABCN02	53
GCA_000002655.1	ASM265v1	Aspergillus fumigatus Af293		Af293					Annotation submitted by J. Craig Venter Institute	Chromosome	2005-06-10	AAHF01	8
GCA_000346465.2	Prunus_persica_NCBIv2	Prunus persica			Lovell				Annotation submitted by PGF	Chromosome	2017-02-02	AKXU02	191
GCA_000006565.2	TGA4	Toxoplasma gondii ME49		ME49					Annotation submitted by J. Craig Venter Institute	Chromosome	2013-08-02	ABPA02	2276
GCA_000182925.2	NC12	Neurospora crassa OR74A		OR74A					Annotation submitted by Broad Institute	Chromosome	2013-10-25	AABX03	20
GCA_000499845.2	P. vulgaris v2.0	Phaseolus vulgaris			G19833				Annotation submitted by JGI	Chromosome	2024-04-23	ANNZ02	1032
GCA_000002495.2	MG8	Pyricularia oryzae 70-15		70-15					Annotation submitted by International Rice Blast Genome Consortium	Chromosome	2011-10-14	AACU03	53
GCA_000002445.1	ASM244v1	Trypanosoma brucei brucei TREU927		927/4 GUTat10.1					Annotation submitted by Trypanosoma brucei consortium	Chromosome	2005-12-14		12
GCA_000240135.3	ASM24013v3	Fusarium graminearum PH-1		PH-1; NRRL 31084					Annotation submitted by International Gibberella zeae Genomics Consortium	Chromosome	2008-11-21	AACM02	31
GCA_000004195.4	UCB_Xtro_10.0	Xenopus tropicalis		Nigerian				female	Annotation submitted by University of California, Berkeley	Chromosome	2019-11-14	AAMC04	166
GCA_002870075.4	Lsat_Salinas_v11	Lactuca sativa			Salinas				Annotation submitted by Lettuce Genome Sequencing Consortium	Chromosome	2022-11-23	NBSK02	91
GCA_001659605.2	M.esculenta_v8	Manihot esculenta			AM560-2				Annotation submitted by DOE-Joint Genome Institute	Chromosome	2021-08-13	LTYI02	102
GCA_000005505.4	Brachypodium_distachyon_v3.0	Brachypodium distachyon		Bd21					Annotation submitted by JGI-PGF	Chromosome	2018-01-24	ADDN03	14
GCA_000150955.2	ASM15095v2	Phaeodactylum tricornutum CCAP 1055/1		CCAP 1055/1					Annotation submitted by Diatom Consortium	Chromosome	2008-12-12	ABQD01	88
GCA_000002775.4	P.trichocarpa_v4.1	Populus trichocarpa					Nisqually-1		Annotation submitted by US DOE Joint Genome Institute (JGI	Chromosome	2022-10-20	AARH04	105
GCA_030052815.1	ASM3005281v1	Hevea brasiliensis					MT/VB/25A 57/8		Annotation submitted by Chinese Academy of Tropical Agricultural Sciences	Chromosome	2023-05-22	JARPOI01	754
GCA_024323335.2	CAAS_Psat_ZW6_1.0	Lathyrus oleraceus			Zhongwan6				Annotation submitted by Institute of Microbiology, Chinese Academy of Sciences	Chromosome	2022-07-19	JAMSHJ01	1566
GCA_002127325.2	HanXRQr2.0-SUNRISE	Helianthus annuus			XRQ/B				Annotation submitted by International Consortium for Sunflower Genomics	Chromosome	2020-07-15	MNCJ02	332
GCA_000263155.2	Setaria_italica_v2.0	Setaria italica		Yugu1					Annotation submitted by JGI-PGF	Chromosome	2015-10-30	AGNK02	336
GCA_000004695.1	dicty_2.7	Dictyostelium discoideum AX4		AX4					Annotation submitted by The Dictyostelium discoideum Sequencing Consortium	Chromosome	2009-08-24	AAFI02	39
GCA_000801105.3	ASM80110v3	Raphanus sativus			WK10039				Annotation submitted by Myongji University	Chromosome	2023-02-09	JRUI03	6422
GCA_000184455.3	ASM18445v3	Aspergillus oryzae RIB40		RIB40					Annotation submitted by National Institute of Technology and Evaluation (NITE), Japan	Chromosome	2011-06-24		11
GCA_918797505.1	PGI_BMITA_v3	Bemisia tabaci							Annotation submitted by ROTHAMSTED RESEARCH	Chromosome	2022-07-12	CAKKNF02	150
GCA_000002415.2	ASM241v2	Plasmodium vivax					Salvador I		Annotation submitted by TIGR	Chromosome	2009-05-06	AAKM01	2747
GCA_900002375.2	GCA_900002375	Plasmodium berghei ANKA		ANKA					Annotation submitted by WTSI	Chromosome	2019-06-14	CABFNT01	19
GCA_000149555.1	ASM14955v1	Fusarium verticillioides 7600		7600					Annotation submitted by Syngenta Biotechnology, Inc.	Chromosome	2008-11-21	AAIM02	36
GCA_016808335.1	P.virgatum_v5	Panicum virgatum		AP13					Annotation submitted by DOE Joint Genome Institute	Chromosome	2021-02-10	JABWAI01	1089
GCA_001723175.3	ASM172317v3	Penicillium oxalicum		HP7-1					Annotation submitted by Guangxi University	Chromosome	2022-04-25	JRVD02	18
GCA_001411555.2	Walnut 2.0	Juglans regia			Chandler				Annotation submitted by Johns Hopkins University	Chromosome	2020-07-08	LIHL02	24756
GCA_000002435.2	UU_WB_2.1	Giardia duodenalis		WB C6					Annotation submitted by Marine Biological Laboratory	Chromosome	2019-11-06	AACB03	35
GCA_964271285.1	ddAraHall_1.3	Arabidopsis halleri							Annotation submitted by Genoscope	Chromosome	2024-09-29	CAXWTY01	175
GCA_048183575.1	ASM4818357v1	Vicia faba			Yundou8137				Annotation submitted by Institute of Crop Sciences, Chinese Academy of Agricultural Sciences	Chromosome	2025-02-28	JBGDGZ01	1158
GCA_002994745.2	RchiOBHm-V2	Rosa chinensis			Old Blush				Annotation submitted by INRA/CNRS	Chromosome	2019-01-15	PDCK01	53
GCA_005286985.2	Setaria_viridis_v4.0	Setaria viridis			A10				Annotation submitted by DOE Joint Genome Institute	Chromosome	2024-04-23	SNSE02	39
GCA_051314025.1	ASM5131402v1	Epinephelus coioides					QU-Ecoi-1		Annotation submitted by Qatar University	Chromosome	2025-07-14	JBFBVL01	33
GCA_905115235.1	iHerIll2.2.curated.20191125	Hermetia illucens							Annotation submitted by CAM	Chromosome	2020-11-21	CAJHNG01	20
GCA_018804465.1	PTv2	Populus tomentosa					GM15		Annotation submitted by Ori-Gene Co. Ltd.	Chromosome	2021-06-09	JAAWWB01	2400
GCA_016881025.1	HiC_Itri_2	Ictidomys tridecemlineatus					GS200	female	Annotation submitted by Stanford University School of Medicine	Chromosome	2021-02-17	JAESOR01	7131
GCA_030272615.1	Sugi_1.0	Cryptomeria japonica							Annotation submitted by Department of Forest Molecular Genetics and Biotechnology, Forestry and Forest Products Research Institute	Chromosome	2023-03-31	BSEH01	2698
GCA_018446385.1	Zo_v1.1	Zingiber officinale			Zhangliang				Annotation submitted by Ori-Gene Co. Ltd.	Chromosome	2021-05-21	JACMSC01	210
GCA_021901695.1	Pst134E36_v1_pri	Puccinia striiformis f. sp. tritici		134E16A+17+33+					Annotation submitted by Australian National University	Chromosome	2022-02-03	JAIUNB01	184
GCA_000149405.2	ASM14940v2	Thalassiosira pseudonana CCMP1335		CCMP1335					Annotation submitted by Diatom Consortium	Chromosome	2009-01-16	AAFD02	64
GCA_000165345.1	ASM16534v1	Cryptosporidium parvum Iowa II					Iowa type II		Annotation submitted by Univ. Minnesota	Chromosome	2007-02-26	AAEE01	8
GCA_033026475.1	Channa argus male v1.0	Channa argus					prfri	male	Annotation submitted by Pearl River Fisheries Research Institute Chinese Academy of Fishery Sciences	Chromosome	2023-10-25	JAUYZH01	290
GCA_000004555.3	CB4	Caenorhabditis briggsae		AF16					Annotation submitted by The C.briggsae Sequencing Consortium	Chromosome	2014-07-02	CAAC03	638
GCA_000002875.2	ASM287v2	Leishmania infantum JPCM5		JPCM5					Annotation submitted by The Sanger Institute	Chromosome	2011-11-08	CACT01	76
GCA_902829305.4	PGI_SPEXI_v6	Spodoptera exigua							Annotation submitted by ROTHAMSTED RESEARCH	Chromosome	2022-10-08	CADEPN05	35
GCA_032690845.1	Eleusine_coracana_v1.0	Eleusine coracana subsp. coracana			KNE 796-S				Annotation submitted by University of Georgia	Chromosome	2023-11-02	JASSVF01	674
GCA_025999795.1	ASM2599979v1	Monascus purpureus		KUPM5					Annotation submitted by The United Graduate School of Agricultural Sciences Kagoshima University	Chromosome	2022-10-06		10
GCA_022985175.1	IGBB_LRoh.1.0	Labeo rohita		BAU-BD-2019				male	Annotation submitted by Mississippi State University	Chromosome	2022-04-19	JACTAM01	2869
GCA_902201215.1	ALMONDv2	Prunus dulcis							Annotation submitted by CNAG	Chromosome	2019-10-10	CABIKO01	691
GCA_004193775.2	ASM419377v2	Glycine soja			W05				Annotation submitted by The Chinese University of Hong Kong	Chromosome	2019-02-21	QZWG01	1118
GCA_005239225.2	ASM523922v2	Populus alba					PAL-ZL1		Annotation submitted by Chinese Academy of Forestry	Chromosome	2024-12-17	RCHU02	97
GCA_003073045.1	ASM307304v1	Pomacea canaliculata					SZHN2017	female	Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences	Chromosome	2018-05-11	PZQS01	23
GCA_009829735.1	ASM982973v1	Pyropia yezoensis			RZ				Annotation submitted by Ocean University	Chromosome	2020-01-06	WMLA01	28
